device_trust,failed_attempts,request_frequency,network_anomaly,time_anomaly,previous_behavior,label,decision
53.49,6,22.39,42.33,44.75,65.08,SUSPICIOUS,LIMITED
5.74,12,83.73,72.54,67.56,13.18,HIGH_RISK,DENY
55.18,3,19.82,38.99,30.57,46.01,SUSPICIOUS,LIMITED
51.17,2,23.86,40.0,32.72,55.75,SUSPICIOUS,LIMITED
67.38,6,42.96,32.94,34.88,43.31,SUSPICIOUS,LIMITED
14.95,9,57.94,89.05,73.26,16.18,HIGH_RISK,DENY
60.48,3,17.98,47.31,40.4,72.0,SUSPICIOUS,LIMITED
93.63,0,1.09,8.84,4.36,90.07,NORMAL,ALLOW
93.69,0,6.54,5.3,0.11,97.48,NORMAL,ALLOW
86.65,0,8.71,2.55,1.04,86.01,NORMAL,ALLOW
13.78,9,78.06,88.57,81.61,22.54,HIGH_RISK,DENY
91.83,0,2.41,0.32,3.49,87.17,NORMAL,ALLOW
27.9,13,88.65,82.4,89.15,14.2,HIGH_RISK,DENY
60.67,4,14.0,51.0,31.93,53.68,SUSPICIOUS,LIMITED
25.73,15,106.57,88.36,68.31,23.9,HIGH_RISK,DENY
19.57,10,96.3,82.04,82.39,16.15,HIGH_RISK,DENY
57.23,6,29.76,23.84,18.0,58.64,SUSPICIOUS,LIMITED
95.96,0,1.54,1.66,5.43,87.97,NORMAL,ALLOW
16.77,7,89.78,92.74,88.52,13.79,HIGH_RISK,DENY
87.53,0,1.0,1.74,2.31,82.22,NORMAL,ALLOW
16.91,6,93.44,74.21,74.91,21.12,HIGH_RISK,DENY
60.91,2,30.89,46.53,51.22,61.49,SUSPICIOUS,LIMITED
96.07,0,6.8,0.28,0.35,89.59,NORMAL,ALLOW
63.96,5,27.58,41.76,37.51,71.29,SUSPICIOUS,LIMITED
88.74,0,2.27,0.5,1.27,87.81,NORMAL,ALLOW
87.68,0,3.22,3.86,3.3,94.38,NORMAL,ALLOW
60.85,2,35.06,57.04,51.41,67.05,SUSPICIOUS,LIMITED
58.13,6,27.31,43.99,53.13,41.19,SUSPICIOUS,LIMITED
91.87,0,8.52,2.25,0.87,89.11,NORMAL,ALLOW
58.25,2,22.68,68.0,53.69,64.76,SUSPICIOUS,LIMITED
95.56,0,5.94,4.34,2.93,95.65,NORMAL,ALLOW
89.57,0,1.0,1.27,5.93,91.96,NORMAL,ALLOW
7.58,14,83.99,91.27,60.6,25.19,HIGH_RISK,DENY
54.38,2,27.94,56.12,31.97,72.0,SUSPICIOUS,LIMITED
48.97,2,24.97,33.36,27.15,62.4,SUSPICIOUS,LIMITED
95.5,0,5.95,1.41,0.43,92.25,NORMAL,ALLOW
93.1,1,2.11,6.42,2.9,98.82,NORMAL,ALLOW
89.61,0,5.13,7.0,0.53,93.84,NORMAL,ALLOW
91.72,1,7.91,9.38,1.78,90.76,NORMAL,ALLOW
79.64,0,4.35,4.72,0.23,100.0,NORMAL,ALLOW
84.89,1,3.93,1.1,1.71,87.87,NORMAL,ALLOW
25.78,9,63.06,84.94,76.49,11.94,HIGH_RISK,DENY
100.0,1,5.33,1.24,6.38,93.92,NORMAL,ALLOW
14.69,8,86.75,89.38,71.67,19.48,HIGH_RISK,DENY
56.18,4,41.0,35.01,34.94,51.16,SUSPICIOUS,LIMITED
43.83,6,21.11,45.06,42.72,58.61,SUSPICIOUS,LIMITED
48.85,2,26.63,57.55,39.03,57.43,SUSPICIOUS,LIMITED
61.51,6,25.62,35.92,51.8,72.0,SUSPICIOUS,LIMITED
59.73,5,34.44,41.85,46.08,50.13,SUSPICIOUS,LIMITED
9.54,20,107.41,87.76,91.78,21.49,HIGH_RISK,DENY
89.22,0,6.38,0.57,4.51,91.35,NORMAL,ALLOW
99.75,0,6.65,0.2,6.34,97.29,NORMAL,ALLOW
52.73,2,29.14,46.63,27.16,51.52,SUSPICIOUS,LIMITED
10.56,11,92.83,95.66,60.23,22.24,HIGH_RISK,DENY
46.71,2,20.67,59.84,30.88,62.55,SUSPICIOUS,LIMITED
15.18,11,87.77,81.98,93.06,24.39,HIGH_RISK,DENY
93.12,1,5.05,9.86,0.39,92.01,NORMAL,ALLOW
15.44,12,97.08,70.21,75.08,17.05,HIGH_RISK,DENY
25.58,8,97.18,86.35,65.53,11.88,HIGH_RISK,DENY
90.54,0,3.04,5.16,6.83,96.23,NORMAL,ALLOW
16.79,6,67.81,97.43,71.52,20.05,HIGH_RISK,DENY
10.34,8,114.47,85.75,72.71,27.72,HIGH_RISK,DENY
53.27,2,36.89,45.4,47.07,68.28,SUSPICIOUS,LIMITED
14.29,11,96.09,85.94,80.64,21.19,HIGH_RISK,DENY
51.93,5,40.93,33.6,29.3,66.97,SUSPICIOUS,LIMITED
49.47,4,15.76,42.82,49.68,68.79,SUSPICIOUS,LIMITED
94.41,0,7.49,1.21,7.6,95.28,NORMAL,ALLOW
55.08,2,15.54,54.27,42.61,56.68,SUSPICIOUS,LIMITED
87.77,0,4.96,1.86,0.74,95.96,NORMAL,ALLOW
100.0,0,8.27,10.44,1.32,94.43,NORMAL,ALLOW
87.55,2,1.0,5.37,4.61,91.5,NORMAL,ALLOW
43.15,5,19.48,41.28,44.76,69.43,SUSPICIOUS,LIMITED
100.0,1,3.02,1.63,0.38,89.66,NORMAL,ALLOW
90.49,0,5.04,2.71,3.11,80.91,NORMAL,ALLOW
93.64,0,6.72,8.29,3.52,97.81,NORMAL,ALLOW
53.16,5,20.74,48.4,44.21,45.76,SUSPICIOUS,LIMITED
60.58,2,26.1,31.87,54.1,52.24,SUSPICIOUS,LIMITED
95.03,0,3.48,2.02,1.64,92.68,NORMAL,ALLOW
98.39,0,6.35,1.1,5.57,92.39,NORMAL,ALLOW
99.93,0,8.13,6.87,6.57,93.23,NORMAL,ALLOW
9.62,9,95.93,84.98,90.74,19.52,HIGH_RISK,DENY
95.08,0,6.52,0.84,2.73,93.45,NORMAL,ALLOW
18.55,10,87.57,89.07,71.46,21.38,HIGH_RISK,DENY
12.29,8,68.24,97.45,65.5,20.63,HIGH_RISK,DENY
88.46,1,5.34,5.37,1.06,96.19,NORMAL,ALLOW
19.63,13,67.41,98.69,65.04,18.65,HIGH_RISK,DENY
16.59,6,93.94,96.15,92.54,16.5,HIGH_RISK,DENY
23.56,15,82.14,86.49,71.66,27.88,HIGH_RISK,DENY
15.88,6,66.66,92.12,69.34,27.44,HIGH_RISK,DENY
47.97,2,30.83,50.17,23.56,68.89,SUSPICIOUS,LIMITED
38.19,5,21.26,45.54,33.4,50.72,SUSPICIOUS,LIMITED
15.02,8,87.18,89.96,64.45,29.15,HIGH_RISK,DENY
93.48,0,1.69,3.34,1.5,97.72,NORMAL,ALLOW
57.84,3,26.18,45.05,50.93,55.35,SUSPICIOUS,LIMITED
20.89,11,63.23,92.24,71.75,13.15,HIGH_RISK,DENY
16.54,7,78.44,80.04,81.22,22.12,HIGH_RISK,DENY
4.58,10,92.76,87.54,71.72,10.55,HIGH_RISK,DENY
16.65,8,94.06,94.73,65.08,16.9,HIGH_RISK,DENY
14.98,7,75.56,93.71,61.8,7.51,HIGH_RISK,DENY
87.4,0,1.0,1.08,1.35,86.07,NORMAL,ALLOW
18.7,6,95.7,90.34,87.97,22.85,HIGH_RISK,DENY
87.41,0,5.18,2.33,1.39,89.47,NORMAL,ALLOW
52.74,4,14.0,58.82,37.33,60.92,SUSPICIOUS,LIMITED
24.4,11,88.34,81.08,61.03,28.54,HIGH_RISK,DENY
27.15,11,48.0,77.75,69.9,29.03,HIGH_RISK,DENY
50.77,5,25.1,49.73,57.78,55.26,SUSPICIOUS,LIMITED
88.94,0,3.0,0.53,0.84,91.49,NORMAL,ALLOW
93.3,0,6.47,8.03,4.01,95.22,NORMAL,ALLOW
23.09,16,85.87,87.8,85.36,13.07,HIGH_RISK,DENY
86.08,0,4.04,1.46,10.26,88.3,NORMAL,ALLOW
10.14,10,55.22,88.89,55.24,18.96,HIGH_RISK,DENY
53.08,5,24.52,58.14,41.94,63.24,SUSPICIOUS,LIMITED
95.27,1,2.97,0.44,3.14,90.89,NORMAL,ALLOW
93.22,0,3.83,5.42,13.11,91.95,NORMAL,ALLOW
21.08,9,75.66,80.28,69.22,14.24,HIGH_RISK,DENY
82.66,1,3.2,1.67,4.52,98.46,NORMAL,ALLOW
65.73,4,15.64,37.67,67.41,64.13,SUSPICIOUS,LIMITED
15.45,10,105.69,78.15,71.71,13.28,HIGH_RISK,DENY
47.89,5,19.63,54.48,23.36,45.97,SUSPICIOUS,LIMITED
20.58,11,82.48,79.68,95.13,18.25,HIGH_RISK,DENY
84.76,0,3.7,11.93,5.59,88.21,NORMAL,ALLOW
25.68,6,77.82,88.15,79.53,35.02,HIGH_RISK,DENY
93.71,0,5.49,13.23,3.14,90.84,NORMAL,ALLOW
89.96,0,6.36,2.22,2.59,90.97,NORMAL,ALLOW
59.53,2,26.86,56.43,45.9,47.1,SUSPICIOUS,LIMITED
99.23,0,7.64,6.99,1.79,87.41,NORMAL,ALLOW
23.3,14,116.56,84.19,81.77,18.96,HIGH_RISK,DENY
94.85,1,1.0,5.31,1.93,88.14,NORMAL,ALLOW
92.24,0,6.1,1.17,1.19,90.13,NORMAL,ALLOW
54.76,2,26.54,45.25,26.69,60.75,SUSPICIOUS,LIMITED
54.33,3,28.4,33.3,39.03,72.0,SUSPICIOUS,LIMITED
97.82,0,5.58,0.21,0.85,83.92,NORMAL,ALLOW
89.21,0,6.1,18.0,0.21,96.29,NORMAL,ALLOW
45.75,2,14.0,48.75,50.64,58.37,SUSPICIOUS,LIMITED
100.0,0,5.68,3.34,0.03,87.36,NORMAL,ALLOW
85.74,0,8.42,6.06,2.82,94.38,NORMAL,ALLOW
63.22,6,33.25,52.47,69.49,54.31,SUSPICIOUS,LIMITED
4.45,12,91.67,88.72,59.29,14.11,HIGH_RISK,DENY
18.23,9,63.51,88.4,73.52,25.95,HIGH_RISK,DENY
65.59,6,37.87,34.7,28.33,59.6,SUSPICIOUS,LIMITED
18.01,10,88.73,89.9,65.19,23.08,HIGH_RISK,DENY
8.18,17,108.22,85.46,64.5,23.41,HIGH_RISK,DENY
52.53,2,36.53,34.17,43.65,63.83,SUSPICIOUS,LIMITED
40.16,2,30.78,43.11,53.84,70.36,SUSPICIOUS,LIMITED
18.75,7,54.33,73.37,64.52,18.67,HIGH_RISK,DENY
90.77,2,3.69,11.76,1.61,93.85,NORMAL,ALLOW
11.03,8,49.0,75.13,77.67,10.16,HIGH_RISK,DENY
38.0,2,21.77,49.38,45.4,58.95,SUSPICIOUS,LIMITED
18.95,6,89.5,62.44,80.03,24.46,HIGH_RISK,DENY
56.46,2,26.09,53.37,33.63,44.58,SUSPICIOUS,LIMITED
57.35,3,26.24,44.82,39.82,72.0,SUSPICIOUS,LIMITED
24.34,13,72.97,84.14,73.33,27.84,HIGH_RISK,DENY
52.34,3,36.2,61.02,33.25,63.99,SUSPICIOUS,LIMITED
92.06,0,5.51,1.16,1.1,94.07,NORMAL,ALLOW
9.34,16,72.6,92.29,78.85,28.96,HIGH_RISK,DENY
93.67,1,7.27,1.77,0.85,95.27,NORMAL,ALLOW
56.88,2,41.36,48.71,38.96,62.6,SUSPICIOUS,LIMITED
99.38,1,8.41,4.04,3.45,89.56,NORMAL,ALLOW
20.37,10,89.59,77.41,76.21,27.32,HIGH_RISK,DENY
21.86,8,101.18,92.44,61.56,19.5,HIGH_RISK,DENY
95.8,0,6.8,2.09,4.49,96.47,NORMAL,ALLOW
69.04,4,29.44,48.27,46.24,53.17,SUSPICIOUS,LIMITED
21.89,6,72.71,93.88,81.17,30.56,HIGH_RISK,DENY
87.62,0,3.98,0.68,0.55,88.96,NORMAL,ALLOW
52.29,2,33.41,38.0,40.38,72.0,SUSPICIOUS,LIMITED
94.85,0,4.94,4.36,0.63,97.11,NORMAL,ALLOW
7.98,8,48.0,95.46,76.11,4.36,HIGH_RISK,DENY
87.39,0,2.97,1.56,0.25,92.58,NORMAL,ALLOW
86.61,0,2.93,1.36,0.86,98.56,NORMAL,ALLOW
89.99,0,8.66,1.91,1.98,94.48,NORMAL,ALLOW
89.92,0,1.24,2.09,1.97,97.3,NORMAL,ALLOW
11.48,7,97.2,90.51,84.34,8.45,HIGH_RISK,DENY
19.41,8,107.59,100.0,88.66,20.44,HIGH_RISK,DENY
8.76,10,111.77,81.06,55.17,29.66,HIGH_RISK,DENY
95.16,0,3.27,7.38,1.4,100.0,NORMAL,ALLOW
91.29,0,2.0,2.0,1.35,87.11,NORMAL,ALLOW
46.57,4,29.77,49.09,31.47,64.67,SUSPICIOUS,LIMITED
50.85,3,32.16,59.24,53.21,64.47,SUSPICIOUS,LIMITED
96.68,0,6.91,4.06,1.5,85.92,NORMAL,ALLOW
60.29,5,24.78,45.09,33.59,51.11,SUSPICIOUS,LIMITED
15.15,9,86.22,80.91,83.07,4.56,HIGH_RISK,DENY
97.8,0,8.2,4.1,6.47,100.0,NORMAL,ALLOW
95.84,0,6.48,1.68,1.0,92.99,NORMAL,ALLOW
25.22,9,92.76,77.92,91.45,13.52,HIGH_RISK,DENY
69.2,3,28.69,63.12,44.89,58.84,SUSPICIOUS,LIMITED
20.52,9,79.32,97.73,78.54,35.42,HIGH_RISK,DENY
88.26,0,4.58,7.21,0.16,90.0,NORMAL,ALLOW
98.23,0,3.72,3.52,4.86,81.63,NORMAL,ALLOW
91.07,1,3.67,6.43,0.04,90.16,NORMAL,ALLOW
53.83,4,29.68,44.49,48.41,55.56,SUSPICIOUS,LIMITED
86.29,0,6.13,2.55,0.38,90.89,NORMAL,ALLOW
85.81,0,7.04,2.6,0.67,87.99,NORMAL,ALLOW
93.08,0,1.0,2.28,0.31,94.45,NORMAL,ALLOW
18.23,8,73.7,79.07,90.03,0.0,HIGH_RISK,DENY
8.91,8,71.93,83.26,51.99,17.99,HIGH_RISK,DENY
93.48,0,2.28,2.45,4.86,98.47,NORMAL,ALLOW
43.0,2,27.93,28.82,22.68,50.21,SUSPICIOUS,LIMITED
10.46,6,56.26,81.81,71.32,20.27,HIGH_RISK,DENY
69.93,4,30.52,32.75,18.0,72.0,SUSPICIOUS,LIMITED
86.45,0,6.06,3.14,1.18,93.71,NORMAL,ALLOW
48.95,6,14.28,43.11,61.28,52.71,SUSPICIOUS,LIMITED
4.84,10,98.74,85.68,92.32,14.39,HIGH_RISK,DENY
7.36,11,74.36,76.7,79.94,11.43,HIGH_RISK,DENY
14.55,15,76.32,86.22,61.29,9.9,HIGH_RISK,DENY
43.58,4,23.1,42.58,25.8,59.09,SUSPICIOUS,LIMITED
50.93,4,31.17,45.07,26.02,56.37,SUSPICIOUS,LIMITED
91.19,0,6.2,1.09,8.74,86.03,NORMAL,ALLOW
17.08,8,89.67,85.08,62.11,27.84,HIGH_RISK,DENY
93.89,0,3.33,0.07,1.42,85.13,NORMAL,ALLOW
68.95,6,24.85,68.0,37.98,57.7,SUSPICIOUS,LIMITED
58.9,4,22.66,43.44,57.84,57.19,SUSPICIOUS,LIMITED
90.7,0,7.47,1.58,2.32,92.78,NORMAL,ALLOW
89.39,1,4.15,0.23,3.53,92.21,NORMAL,ALLOW
92.32,0,3.31,3.03,4.21,100.0,NORMAL,ALLOW
57.62,2,28.15,53.01,21.9,61.8,SUSPICIOUS,LIMITED
64.81,4,21.57,55.95,31.2,57.88,SUSPICIOUS,LIMITED
40.67,2,30.26,34.76,47.09,58.29,SUSPICIOUS,LIMITED
88.36,0,2.96,0.53,7.85,94.59,NORMAL,ALLOW
72.0,2,21.63,51.95,51.74,39.81,SUSPICIOUS,LIMITED
12.96,8,67.86,80.74,79.75,17.3,HIGH_RISK,DENY
3.11,13,76.59,92.82,75.98,16.98,HIGH_RISK,DENY
3.52,9,83.03,80.78,66.55,21.23,HIGH_RISK,DENY
91.44,0,4.72,3.39,1.5,87.97,NORMAL,ALLOW
13.38,6,91.39,100.0,76.87,11.68,HIGH_RISK,DENY
55.0,4,39.98,33.0,50.31,63.9,SUSPICIOUS,LIMITED
66.55,5,31.31,39.43,47.22,64.84,SUSPICIOUS,LIMITED
16.0,15,105.73,94.65,81.17,22.63,HIGH_RISK,DENY
53.01,5,18.53,30.38,40.21,65.37,SUSPICIOUS,LIMITED
57.13,4,34.99,48.55,42.37,62.81,SUSPICIOUS,LIMITED
96.77,0,4.64,2.06,1.49,89.7,NORMAL,ALLOW
93.21,0,7.37,1.44,3.32,92.73,NORMAL,ALLOW
10.42,11,82.51,77.1,73.15,23.54,HIGH_RISK,DENY
90.76,2,4.31,0.21,0.62,81.75,NORMAL,ALLOW
55.44,5,30.41,54.25,41.7,71.64,SUSPICIOUS,LIMITED
57.59,6,32.39,56.12,62.52,62.8,SUSPICIOUS,LIMITED
15.14,8,105.84,90.2,59.45,36.56,HIGH_RISK,DENY
18.98,17,88.57,90.5,100.0,16.44,HIGH_RISK,DENY
92.37,0,4.9,3.04,0.11,90.81,NORMAL,ALLOW
46.99,6,28.12,46.48,66.81,63.03,SUSPICIOUS,LIMITED
71.43,3,29.87,58.24,32.18,65.78,SUSPICIOUS,LIMITED
87.85,0,6.15,2.23,2.77,89.63,NORMAL,ALLOW
87.11,0,4.89,4.02,0.05,81.57,NORMAL,ALLOW
8.63,14,112.24,87.43,86.43,20.1,HIGH_RISK,DENY
10.72,8,97.71,98.63,79.27,16.8,HIGH_RISK,DENY
11.24,14,83.42,93.25,83.16,20.99,HIGH_RISK,DENY
18.4,11,74.52,83.06,91.45,35.12,HIGH_RISK,DENY
92.5,0,9.39,6.05,1.72,86.68,NORMAL,ALLOW
21.57,11,103.31,86.37,63.76,20.92,HIGH_RISK,DENY
90.9,0,5.9,3.44,10.17,94.17,NORMAL,ALLOW
18.39,7,107.3,83.09,84.99,9.69,HIGH_RISK,DENY
50.0,4,32.39,61.65,52.23,62.77,SUSPICIOUS,LIMITED
64.45,5,31.24,40.46,27.58,46.67,SUSPICIOUS,LIMITED
49.22,2,35.7,49.32,52.75,52.38,SUSPICIOUS,LIMITED
47.5,5,35.91,46.65,36.32,65.5,SUSPICIOUS,LIMITED
13.89,9,77.33,91.25,87.29,38.0,HIGH_RISK,DENY
91.55,0,8.86,3.66,2.19,86.73,NORMAL,ALLOW
42.71,2,32.47,52.32,18.0,65.03,SUSPICIOUS,LIMITED
15.99,12,60.08,77.28,86.34,16.69,HIGH_RISK,DENY
93.61,0,4.51,5.26,1.47,93.45,NORMAL,ALLOW
93.28,0,5.81,0.66,1.06,91.8,NORMAL,ALLOW
55.15,3,41.42,43.8,28.51,64.71,SUSPICIOUS,LIMITED
66.72,4,14.0,37.46,46.2,64.91,SUSPICIOUS,LIMITED
95.87,0,7.47,4.3,1.16,77.43,NORMAL,ALLOW
7.22,6,106.1,89.79,91.64,13.75,HIGH_RISK,DENY
11.37,12,97.61,89.69,64.09,32.05,HIGH_RISK,DENY
7.66,6,78.54,80.6,67.23,18.1,HIGH_RISK,DENY
12.52,6,88.86,83.51,72.83,20.04,HIGH_RISK,DENY
54.05,4,20.43,44.38,52.43,58.43,SUSPICIOUS,LIMITED
13.25,6,96.44,80.32,81.12,10.41,HIGH_RISK,DENY
84.85,0,4.01,1.35,0.6,100.0,NORMAL,ALLOW
21.36,6,90.64,70.81,82.65,24.95,HIGH_RISK,DENY
97.33,0,4.59,3.72,1.56,89.86,NORMAL,ALLOW
15.4,6,95.1,86.67,94.16,8.01,HIGH_RISK,DENY
9.57,10,81.37,74.97,74.92,16.42,HIGH_RISK,DENY
91.46,0,9.35,5.58,1.25,94.94,NORMAL,ALLOW
88.5,0,4.58,3.02,5.07,98.75,NORMAL,ALLOW
11.13,6,59.21,88.15,71.32,20.32,HIGH_RISK,DENY
30.79,9,89.03,87.42,85.16,27.24,HIGH_RISK,DENY
89.0,0,2.23,1.7,1.4,98.4,NORMAL,ALLOW
61.75,4,17.51,41.9,40.5,60.8,SUSPICIOUS,LIMITED
53.49,4,22.31,44.43,33.6,58.08,SUSPICIOUS,LIMITED
21.64,8,82.65,78.47,83.84,18.82,HIGH_RISK,DENY
59.38,5,17.6,55.0,51.13,58.1,SUSPICIOUS,LIMITED
90.45,0,3.99,0.2,8.89,89.77,NORMAL,ALLOW
10.45,11,78.04,88.64,71.55,21.36,HIGH_RISK,DENY
94.47,0,4.52,3.34,0.12,93.96,NORMAL,ALLOW
22.01,12,100.04,91.46,85.08,36.35,HIGH_RISK,DENY
56.93,4,34.35,50.4,43.53,49.84,SUSPICIOUS,LIMITED
100.0,2,6.88,4.61,6.78,91.93,NORMAL,ALLOW
16.94,16,93.74,97.98,76.19,32.28,HIGH_RISK,DENY
53.14,2,15.16,41.36,23.05,57.44,SUSPICIOUS,LIMITED
11.34,11,84.47,94.73,61.95,24.52,HIGH_RISK,DENY
18.85,7,91.65,89.51,83.83,24.69,HIGH_RISK,DENY
13.27,8,88.66,81.78,85.77,3.27,HIGH_RISK,DENY
64.62,4,29.39,40.13,45.72,58.09,SUSPICIOUS,LIMITED
94.65,1,6.53,5.85,1.98,98.76,NORMAL,ALLOW
7.14,6,102.84,82.31,80.95,16.07,HIGH_RISK,DENY
60.92,6,15.22,39.19,33.96,47.98,SUSPICIOUS,LIMITED
53.87,2,35.78,37.93,22.95,68.66,SUSPICIOUS,LIMITED
53.63,6,14.0,43.74,62.89,41.38,SUSPICIOUS,LIMITED
42.51,4,34.65,50.55,47.24,64.41,SUSPICIOUS,LIMITED
25.3,9,80.22,76.45,81.07,27.3,HIGH_RISK,DENY
14.78,10,96.56,74.49,80.49,30.44,HIGH_RISK,DENY
38.76,3,18.01,34.0,36.59,55.83,SUSPICIOUS,LIMITED
38.0,5,14.0,65.65,38.11,56.72,SUSPICIOUS,LIMITED
0.48,7,89.4,79.17,73.48,28.07,HIGH_RISK,DENY
9.0,8,69.14,83.92,92.5,16.48,HIGH_RISK,DENY
13.74,6,92.6,86.14,87.54,20.52,HIGH_RISK,DENY
21.16,13,84.75,76.61,64.57,35.39,HIGH_RISK,DENY
60.84,6,34.85,39.92,39.3,68.0,SUSPICIOUS,LIMITED
54.06,2,34.01,38.91,19.14,63.16,SUSPICIOUS,LIMITED
92.37,0,3.58,3.14,6.85,82.43,NORMAL,ALLOW
56.8,2,30.16,39.2,55.47,60.79,SUSPICIOUS,LIMITED
92.93,0,2.12,5.28,5.13,89.44,NORMAL,ALLOW
20.82,13,124.53,94.48,76.22,12.95,HIGH_RISK,DENY
91.63,0,4.19,0.67,4.06,84.03,NORMAL,ALLOW
19.9,6,71.68,91.16,81.95,20.5,HIGH_RISK,DENY
87.9,0,4.89,1.23,12.18,95.83,NORMAL,ALLOW
93.4,2,3.64,0.94,2.36,95.59,NORMAL,ALLOW
100.0,0,4.94,0.51,2.04,97.48,NORMAL,ALLOW
10.21,11,94.9,70.38,92.67,10.45,HIGH_RISK,DENY
46.59,6,25.06,22.0,34.39,72.0,SUSPICIOUS,LIMITED
50.1,2,14.0,46.77,46.67,54.21,SUSPICIOUS,LIMITED
94.59,1,6.04,0.71,13.3,85.1,NORMAL,ALLOW
67.15,6,31.5,45.69,31.5,65.89,SUSPICIOUS,LIMITED
17.21,14,99.91,87.82,86.68,20.44,HIGH_RISK,DENY
53.36,3,21.97,46.32,37.88,39.68,SUSPICIOUS,LIMITED
5.45,10,62.05,89.31,93.74,13.13,HIGH_RISK,DENY
93.04,2,4.44,5.54,3.06,98.82,NORMAL,ALLOW
90.93,1,3.11,2.64,4.74,94.52,NORMAL,ALLOW
49.11,3,25.33,62.56,44.19,65.67,SUSPICIOUS,LIMITED
51.79,4,26.97,59.8,52.23,63.04,SUSPICIOUS,LIMITED
51.25,2,26.95,42.64,41.21,55.05,SUSPICIOUS,LIMITED
28.63,6,56.72,79.58,82.63,29.12,HIGH_RISK,DENY
92.18,0,2.07,2.01,1.19,88.21,NORMAL,ALLOW
42.05,3,35.25,45.81,48.09,57.14,SUSPICIOUS,LIMITED
65.54,6,23.79,22.0,46.66,63.65,SUSPICIOUS,LIMITED
94.37,0,4.24,1.07,2.21,87.61,NORMAL,ALLOW
59.59,6,26.46,45.09,63.89,67.09,SUSPICIOUS,LIMITED
20.71,13,103.6,81.25,72.22,34.06,HIGH_RISK,DENY
100.0,0,2.28,1.06,4.23,90.64,NORMAL,ALLOW
12.21,11,102.7,77.57,72.34,18.98,HIGH_RISK,DENY
40.45,3,29.04,60.54,70.0,57.92,SUSPICIOUS,LIMITED
88.69,0,1.0,4.3,1.23,92.28,NORMAL,ALLOW
10.08,8,78.63,93.14,84.36,10.27,HIGH_RISK,DENY
56.0,5,23.89,40.48,40.01,62.42,SUSPICIOUS,LIMITED
14.06,7,81.76,80.2,70.93,30.97,HIGH_RISK,DENY
84.92,0,3.22,10.14,1.2,89.69,NORMAL,ALLOW
92.11,0,3.02,0.49,1.44,93.22,NORMAL,ALLOW
56.49,2,37.21,48.38,18.0,66.05,SUSPICIOUS,LIMITED
12.86,11,97.81,86.19,64.56,16.11,HIGH_RISK,DENY
100.0,0,5.86,3.53,6.71,89.96,NORMAL,ALLOW
50.53,5,19.99,58.5,56.14,63.62,SUSPICIOUS,LIMITED
91.7,0,4.98,0.44,4.59,85.9,NORMAL,ALLOW
54.28,3,33.61,63.88,41.91,66.34,SUSPICIOUS,LIMITED
3.66,9,65.84,83.52,80.87,25.97,HIGH_RISK,DENY
93.93,0,1.96,13.78,0.21,90.5,NORMAL,ALLOW
46.93,3,24.44,30.49,37.65,51.62,SUSPICIOUS,LIMITED
21.94,16,103.71,84.28,86.22,19.57,HIGH_RISK,DENY
43.88,3,25.99,46.07,35.61,47.14,SUSPICIOUS,LIMITED
100.0,0,5.2,1.5,1.16,90.5,NORMAL,ALLOW
19.43,13,69.46,73.29,79.05,13.54,HIGH_RISK,DENY
87.89,0,2.4,0.74,2.76,100.0,NORMAL,ALLOW
67.09,3,29.61,39.04,29.65,42.02,SUSPICIOUS,LIMITED
45.21,3,27.03,52.16,50.46,48.93,SUSPICIOUS,LIMITED
88.94,1,4.08,3.22,1.85,95.45,NORMAL,ALLOW
28.64,12,59.17,85.44,70.46,28.29,HIGH_RISK,DENY
91.84,0,3.28,2.34,1.47,100.0,NORMAL,ALLOW
91.36,0,1.09,8.69,0.13,96.35,NORMAL,ALLOW
22.14,6,88.88,94.01,91.94,35.29,HIGH_RISK,DENY
88.01,0,6.96,0.62,1.76,84.21,NORMAL,ALLOW
64.9,2,35.75,55.47,53.17,61.73,SUSPICIOUS,LIMITED
22.39,8,79.7,76.98,68.31,21.47,HIGH_RISK,DENY
88.98,0,6.27,0.25,2.11,89.49,NORMAL,ALLOW
20.07,6,62.38,75.67,60.53,13.46,HIGH_RISK,DENY
19.83,9,51.24,99.67,74.14,7.49,HIGH_RISK,DENY
88.88,0,9.52,0.54,8.44,84.09,NORMAL,ALLOW
10.28,12,101.28,85.43,83.53,11.26,HIGH_RISK,DENY
23.75,9,106.91,87.45,65.79,3.6,HIGH_RISK,DENY
17.76,6,109.39,86.22,67.83,26.16,HIGH_RISK,DENY
13.99,9,93.04,74.59,92.81,14.53,HIGH_RISK,DENY
49.07,3,25.84,33.86,32.19,58.43,SUSPICIOUS,LIMITED
94.15,0,8.22,0.09,0.26,89.48,NORMAL,ALLOW
19.03,13,87.21,81.05,76.01,35.45,HIGH_RISK,DENY
45.08,3,22.87,40.28,45.08,61.44,SUSPICIOUS,LIMITED
88.73,0,6.11,7.01,1.03,95.86,NORMAL,ALLOW
90.59,0,6.47,4.39,13.9,96.14,NORMAL,ALLOW
59.63,4,39.38,30.05,46.04,72.0,SUSPICIOUS,LIMITED
13.21,12,90.9,91.4,80.81,29.57,HIGH_RISK,DENY
87.05,0,2.53,3.18,1.18,83.02,NORMAL,ALLOW
84.96,0,6.3,1.0,0.6,90.48,NORMAL,ALLOW
92.35,0,5.58,1.17,4.4,95.52,NORMAL,ALLOW
